frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,sign,dynamic
683,31.0,85.0,81.0,74.0,72.0,5.0,5.0,
684,31.0,83.0,79.0,71.0,66.0,5.0,5.0,
685,32.0,91.0,85.0,79.0,75.0,5.0,5.0,
686,30.0,82.0,76.0,68.0,63.0,5.0,5.0,
687,33.0,82.0,78.0,73.0,71.0,5.0,5.0,
688,28.0,75.0,74.0,66.0,64.0,5.0,5.0,
689,31.0,82.0,78.0,69.0,66.0,5.0,5.0,
690,30.0,85.0,78.0,70.0,66.0,5.0,5.0,
691,32.0,84.0,81.0,74.0,71.0,5.0,5.0,
692,28.0,82.0,80.0,73.0,70.0,5.0,5.0,
693,34.0,87.0,82.0,77.0,72.0,5.0,5.0,
694,28.0,80.0,77.0,70.0,67.0,5.0,5.0,
695,33.0,86.0,83.0,78.0,73.0,5.0,5.0,
696,29.0,82.0,76.0,69.0,65.0,5.0,5.0,
697,34.0,93.0,85.0,83.0,78.0,5.0,5.0,
698,28.0,79.0,76.0,70.0,65.0,5.0,5.0,
699,32.0,85.0,82.0,76.0,71.0,5.0,5.0,
700,29.0,80.0,75.0,67.0,62.0,5.0,5.0,
701,34.0,89.0,84.0,82.0,78.0,5.0,5.0,
702,28.0,83.0,79.0,73.0,67.0,5.0,5.0,
703,35.0,91.0,88.0,86.0,81.0,5.0,5.0,
704,27.0,85.0,81.0,74.0,66.0,5.0,5.0,
705,33.0,92.0,89.0,90.0,85.0,5.0,5.0,
706,28.0,89.0,83.0,78.0,69.0,5.0,5.0,
707,34.0,94.0,89.0,88.0,82.0,5.0,5.0,
708,28.0,91.0,82.0,77.0,71.0,5.0,5.0,
709,34.0,96.0,90.0,93.0,85.0,5.0,5.0,
710,28.0,92.0,82.0,76.0,72.0,5.0,5.0,
755,25.0,46.0,31.0,16.0,36.0,6.0,6.0,1.0
756,27.0,42.0,28.0,14.0,34.0,6.0,6.0,1.0
757,25.0,45.0,30.0,16.0,36.0,6.0,6.0,1.0
758,26.0,43.0,28.0,15.0,34.0,6.0,6.0,1.0
759,25.0,47.0,31.0,16.0,37.0,6.0,6.0,1.0
760,26.0,46.0,30.0,16.0,36.0,6.0,6.0,1.0
761,26.0,48.0,33.0,17.0,38.0,6.0,6.0,1.0
762,26.0,47.0,32.0,17.0,37.0,6.0,6.0,1.0
