frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label
731,33.0,91.0,84.0,81.0,79.0,
732,27.0,85.0,83.0,76.0,66.0,
733,31.0,86.0,83.0,76.0,75.0,
734,26.0,83.0,78.0,72.0,65.0,
735,32.0,85.0,83.0,79.0,78.0,
736,26.0,81.0,79.0,72.0,67.0,
737,32.0,89.0,81.0,75.0,74.0,
738,26.0,80.0,76.0,68.0,63.0,
739,33.0,84.0,82.0,78.0,77.0,
740,26.0,82.0,79.0,72.0,66.0,
741,32.0,89.0,82.0,76.0,75.0,
742,26.0,82.0,79.0,72.0,66.0,
743,32.0,88.0,81.0,75.0,75.0,
744,25.0,53.0,44.0,34.0,51.0,
745,25.0,47.0,39.0,25.0,47.0,
746,23.0,48.0,38.0,24.0,50.0,
747,24.0,48.0,36.0,23.0,46.0,
748,25.0,46.0,36.0,24.0,46.0,
749,25.0,44.0,31.0,19.0,42.0,
750,26.0,43.0,30.0,18.0,41.0,
751,26.0,44.0,31.0,18.0,40.0,
752,26.0,43.0,30.0,19.0,40.0,
753,26.0,43.0,30.0,18.0,39.0,
754,27.0,43.0,28.0,15.0,36.0,
755,25.0,46.0,31.0,16.0,36.0,6
756,27.0,42.0,28.0,14.0,34.0,6
757,25.0,45.0,30.0,16.0,36.0,6
758,26.0,43.0,28.0,15.0,34.0,6
759,25.0,47.0,31.0,16.0,37.0,6
760,26.0,46.0,30.0,16.0,36.0,6
761,26.0,48.0,33.0,17.0,38.0,6
762,26.0,47.0,32.0,17.0,37.0,6
763,26.0,47.0,34.0,20.0,40.0,6
764,25.0,46.0,33.0,20.0,39.0,6
765,26.0,47.0,35.0,22.0,40.0,6
766,26.0,46.0,36.0,22.0,40.0,6
767,27.0,47.0,38.0,23.0,42.0,6
768,26.0,46.0,37.0,22.0,40.0,6
769,27.0,48.0,40.0,27.0,45.0,6
770,26.0,48.0,40.0,27.0,45.0,6
771,26.0,48.0,41.0,26.0,43.0,6
772,25.0,48.0,40.0,29.0,47.0,6
773,27.0,49.0,41.0,30.0,47.0,6
774,26.0,50.0,44.0,31.0,48.0,6
775,31.0,44.0,42.0,34.0,38.0,6
776,29.0,56.0,52.0,37.0,52.0,6
777,27.0,56.0,53.0,37.0,50.0,6
778,30.0,57.0,56.0,43.0,53.0,6
779,31.0,58.0,58.0,46.0,55.0,6
780,30.0,63.0,65.0,55.0,61.0,6
781,31.0,61.0,63.0,53.0,58.0,6
782,32.0,68.0,74.0,67.0,68.0,6
783,33.0,77.0,79.0,74.0,74.0,6
784,33.0,88.0,89.0,87.0,84.0,6
785,36.0,83.0,86.0,82.0,78.0,6
786,35.0,102.0,95.0,94.0,91.0,6
787,36.0,101.0,95.0,92.0,87.0,6
788,35.0,105.0,101.0,102.0,97.0,6
