frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,sign,sign_character,dynamic
596,68.0,20.0,126.0,133.0,114.0,4.0,AEE,1.0
597,68.0,21.0,126.0,134.0,115.0,4.0,AEE,1.0
598,68.0,25.0,129.0,136.0,116.0,4.0,AEE,1.0
599,66.0,25.0,129.0,135.0,115.0,4.0,AEE,1.0
659,30.0,74.0,75.0,65.0,64.0,5.0,I,
660,30.0,76.0,76.0,68.0,67.0,5.0,I,
661,30.0,79.0,77.0,68.0,66.0,5.0,I,
662,29.0,81.0,76.0,66.0,66.0,5.0,I,
663,29.0,80.0,76.0,65.0,66.0,5.0,I,
664,30.0,75.0,73.0,63.0,65.0,5.0,I,
665,29.0,79.0,77.0,68.0,66.0,5.0,I,
666,31.0,86.0,79.0,67.0,66.0,5.0,I,
667,31.0,83.0,78.0,67.0,65.0,5.0,I,
668,31.0,85.0,81.0,71.0,69.0,5.0,I,
669,31.0,88.0,82.0,72.0,68.0,5.0,I,
670,32.0,90.0,83.0,72.0,68.0,5.0,I,
671,31.0,89.0,81.0,69.0,67.0,5.0,I,
672,31.0,93.0,82.0,73.0,68.0,5.0,I,
673,31.0,90.0,83.0,73.0,70.0,5.0,I,
674,32.0,90.0,82.0,74.0,70.0,5.0,I,
675,33.0,96.0,87.0,80.0,73.0,5.0,I,
676,32.0,93.0,85.0,78.0,72.0,5.0,I,
677,32.0,98.0,88.0,83.0,76.0,5.0,I,
678,31.0,92.0,83.0,77.0,71.0,5.0,I,
679,33.0,89.0,81.0,77.0,71.0,5.0,I,
680,28.0,85.0,78.0,70.0,64.0,5.0,I,
681,33.0,83.0,78.0,74.0,73.0,5.0,I,
682,28.0,75.0,74.0,66.0,64.0,5.0,I,
683,31.0,85.0,81.0,74.0,72.0,5.0,I,
684,31.0,83.0,79.0,71.0,66.0,5.0,I,
685,32.0,91.0,85.0,79.0,75.0,5.0,I,
686,30.0,82.0,76.0,68.0,63.0,5.0,I,
687,33.0,82.0,78.0,73.0,71.0,5.0,I,
688,28.0,75.0,74.0,66.0,64.0,5.0,I,
689,31.0,82.0,78.0,69.0,66.0,5.0,I,
690,30.0,85.0,78.0,70.0,66.0,5.0,I,
691,32.0,84.0,81.0,74.0,71.0,5.0,I,
692,28.0,82.0,80.0,73.0,70.0,5.0,I,
693,34.0,87.0,82.0,77.0,72.0,5.0,I,
694,28.0,80.0,77.0,70.0,67.0,5.0,I,
695,33.0,86.0,83.0,78.0,73.0,5.0,I,
